song_name,song_artist,track number,country,start date,end date,Analysis
Toosie Slide,Drake,1,Germany,2020-04-17,2020-04-24,Positive
365 Tage,Samra,2,Germany,2020-04-17,2020-04-24,Negative
BaeBae,Samra,3,Germany,2020-04-17,2020-04-24,Negative
Blinding Lights,The Weeknd,4,Germany,2020-04-17,2020-04-24,Negative
Roses - Imanbek Remix,SAINt JHN,5,Germany,2020-04-17,2020-04-24,Negative
Final Fantasy,Ufo361,6,Germany,2020-04-17,2020-04-24,Negative
WIE LANG?????????,Dardan,7,Germany,2020-04-17,2020-04-24,Negative
Shotz Fired,Bonez MC,8,Germany,2020-04-17,2020-04-24,Negative
Ausländer 2020,Mert,9,Germany,2020-04-17,2020-04-24,Negative
Breaking Me,Topic,10,Germany,2020-04-17,2020-04-24,Positive
ily (i love you baby) (feat. Emilee),Surf Mesa,11,Germany,2020-04-17,2020-04-24,Positive
Du bist mein,Zuna,12,Germany,2020-04-17,2020-04-24,Negative
Ich würd' lügen,KAYEF,13,Germany,2020-04-17,2020-04-24,Positive
Angels Sippen,Symba,14,Germany,2020-04-17,2020-04-24,Negative
What's Luv,Shindy,15,Germany,2020-04-17,2020-04-24,Positive
death bed (coffee for your head) (feat. beabadoobee),Powfu,16,Germany,2020-04-17,2020-04-24,Positive
Dance Monkey,Tones And I,17,Germany,2020-04-17,2020-04-24,Neutral
Salt,Ava Max,18,Germany,2020-04-17,2020-04-24,Positive
H &lt;3 T E L,Dardan,19,Germany,2020-04-17,2020-04-24,could not determine analysis
Roller,Apache 207,20,Germany,2020-04-17,2020-04-24,Negative
